frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
1778267918.860245000,10.19.155.241,10.19.155.22,7045,5000,66,0x0002
1778267918.860318000,10.19.155.22,10.19.155.241,5000,7045,66,0x0012
1778267918.862416000,10.19.155.241,10.19.155.22,7045,5000,60,0x0010
1778267918.862420000,10.19.155.241,10.19.155.22,7045,5000,2122,0x0018
1778267918.862652000,10.19.155.22,10.19.155.241,5000,7045,54,0x0010
1778267918.865767000,10.19.155.22,10.19.155.241,5000,7045,1383,0x0018
1778267918.871312000,10.19.155.241,10.19.155.22,7045,5000,84,0x0018
1778267918.871314000,10.19.155.241,10.19.155.22,52754,5000,66,0x0002
1778267918.871315000,10.19.155.241,10.19.155.22,7045,5000,60,0x0011
1778267918.871607000,10.19.155.22,10.19.155.241,5000,52754,66,0x0012
1778267918.872136000,10.19.155.22,10.19.155.241,5000,7045,54,0x0011
1778267918.872849000,10.19.155.241,10.19.155.22,52754,5000,60,0x0010
1778267918.872850000,10.19.155.241,10.19.155.22,7045,5000,60,0x0010
1778267918.872850000,10.19.155.241,10.19.155.22,10793,5000,66,0x0002
1778267918.873034000,10.19.155.22,10.19.155.241,5000,10793,66,0x0012
1778267918.874483000,10.19.155.241,10.19.155.22,52754,5000,2026,0x0018
1778267918.874485000,10.19.155.241,10.19.155.22,10793,5000,60,0x0010
1778267918.874486000,10.19.155.241,10.19.155.22,10793,5000,1755,0x0018
1778267918.874619000,10.19.155.22,10.19.155.241,5000,52754,54,0x0010
1778267918.874853000,10.19.155.22,10.19.155.241,5000,10793,54,0x0010
1778267918.875715000,10.19.155.22,10.19.155.241,5000,52754,1383,0x0018
1778267918.876993000,10.19.155.241,10.19.155.22,52754,5000,84,0x0018
1778267918.876995000,10.19.155.241,10.19.155.22,52754,5000,60,0x0011
1778267918.877891000,10.19.155.22,10.19.155.241,5000,52754,54,0x0011
1778267918.878812000,10.19.155.241,10.19.155.22,52754,5000,60,0x0010
1778267918.879586000,10.19.155.241,10.19.155.22,40678,5000,66,0x0002
1778267918.879635000,10.19.155.22,10.19.155.241,5000,40678,66,0x0012
1778267918.880343000,10.19.155.22,10.19.155.241,5000,10793,2501,0x0018
1778267918.881273000,10.19.155.241,10.19.155.22,40678,5000,60,0x0010
1778267918.881275000,10.19.155.241,10.19.155.22,10793,5000,60,0x0010
1778267918.881277000,10.19.155.241,10.19.155.22,40678,5000,1851,0x0018
1778267918.881360000,10.19.155.22,10.19.155.241,5000,40678,54,0x0010
1778267918.882804000,10.19.155.241,10.19.155.22,10793,5000,134,0x0018
1778267918.882806000,10.19.155.241,10.19.155.22,10793,5000,622,0x0018
1778267918.883350000,10.19.155.22,10.19.155.241,5000,10793,309,0x0018
1778267918.892817000,10.19.155.22,10.19.155.241,5000,40678,2501,0x0018
1778267918.893637000,10.19.155.241,10.19.155.22,40678,5000,60,0x0010
1778267918.894227000,10.19.155.241,10.19.155.22,40678,5000,134,0x0018
1778267918.894229000,10.19.155.241,10.19.155.22,40678,5000,660,0x0018
1778267918.894953000,10.19.155.22,10.19.155.241,5000,40678,309,0x0018
1778267918.901647000,10.19.155.22,10.19.155.241,5000,10793,727,0x0019
1778267918.902382000,10.19.155.241,10.19.155.22,10793,5000,60,0x0010
1778267918.903040000,10.19.155.241,10.19.155.22,10793,5000,60,0x0011
1778267918.903098000,10.19.155.22,10.19.155.241,5000,10793,54,0x0010
1778267918.935596000,10.19.155.241,10.19.155.22,40678,5000,60,0x0010
1778267918.935626000,10.19.155.22,10.19.155.241,5000,40678,833,0x0018
1778267918.937210000,10.19.155.241,10.19.155.22,40678,5000,60,0x0011
1778267918.937780000,10.19.155.22,10.19.155.241,5000,40678,78,0x0018
1778267918.938933000,10.19.155.241,10.19.155.22,40678,5000,60,0x0014
1778267919.539919000,10.19.155.241,10.19.155.22,17030,5000,66,0x0002
1778267919.539966000,10.19.155.22,10.19.155.241,5000,17030,66,0x0012
1778267919.541036000,10.19.155.241,10.19.155.22,17030,5000,60,0x0010
1778267919.541037000,10.19.155.241,10.19.155.22,26211,5000,66,0x0002
1778267919.541195000,10.19.155.22,10.19.155.241,5000,26211,66,0x0012
1778267919.542287000,10.19.155.241,10.19.155.22,17030,5000,2090,0x0018
1778267919.542288000,10.19.155.241,10.19.155.22,26211,5000,60,0x0010
1778267919.542289000,10.19.155.241,10.19.155.22,26211,5000,2090,0x0018
1778267919.542499000,10.19.155.22,10.19.155.241,5000,17030,54,0x0010
1778267919.542757000,10.19.155.22,10.19.155.241,5000,26211,54,0x0010
1778267919.543204000,10.19.155.22,10.19.155.241,5000,17030,1383,0x0018
1778267919.544035000,10.19.155.241,10.19.155.22,17030,5000,84,0x0018
1778267919.544036000,10.19.155.241,10.19.155.22,17030,5000,60,0x0011
1778267919.544584000,10.19.155.22,10.19.155.241,5000,17030,54,0x0011
1778267919.545115000,10.19.155.241,10.19.155.22,29265,5000,66,0x0002
1778267919.545117000,10.19.155.241,10.19.155.22,17030,5000,60,0x0010
1778267919.545183000,10.19.155.22,10.19.155.241,5000,29265,66,0x0012
1778267919.546293000,10.19.155.22,10.19.155.241,5000,26211,1383,0x0018
1778267919.546912000,10.19.155.241,10.19.155.22,29265,5000,60,0x0010
1778267919.546914000,10.19.155.241,10.19.155.22,29265,5000,1851,0x0018
1778267919.546982000,10.19.155.22,10.19.155.241,5000,29265,54,0x0010
1778267919.547619000,10.19.155.241,10.19.155.22,26211,5000,84,0x0018
1778267919.547620000,10.19.155.241,10.19.155.22,26211,5000,60,0x0011
1778267919.548212000,10.19.155.22,10.19.155.241,5000,26211,54,0x0011
1778267919.548696000,10.19.155.241,10.19.155.22,6515,5000,66,0x0002
1778267919.548697000,10.19.155.241,10.19.155.22,26211,5000,60,0x0010
1778267919.548740000,10.19.155.22,10.19.155.241,5000,6515,66,0x0012
1778267919.549709000,10.19.155.241,10.19.155.22,6515,5000,60,0x0010
1778267919.549711000,10.19.155.241,10.19.155.22,6515,5000,1787,0x0018
1778267919.549759000,10.19.155.22,10.19.155.241,5000,6515,54,0x0010
1778267919.550153000,10.19.155.22,10.19.155.241,5000,29265,2501,0x0018
1778267919.550698000,10.19.155.241,10.19.155.22,29265,5000,60,0x0010
1778267919.551155000,10.19.155.241,10.19.155.22,29265,5000,134,0x0018
1778267919.551156000,10.19.155.241,10.19.155.22,29265,5000,622,0x0018
1778267919.551895000,10.19.155.22,10.19.155.241,5000,29265,309,0x0018
1778267919.557101000,10.19.155.22,10.19.155.241,5000,6515,2501,0x0018
1778267919.557638000,10.19.155.241,10.19.155.22,6515,5000,60,0x0010
1778267919.557925000,10.19.155.241,10.19.155.22,6515,5000,134,0x0018
1778267919.558470000,10.19.155.22,10.19.155.241,5000,6515,309,0x0018
1778267919.558452000,10.19.155.241,10.19.155.22,6515,5000,660,0x0018
1778267919.566876000,10.19.155.22,10.19.155.241,5000,29265,727,0x0019
1778267919.567600000,10.19.155.241,10.19.155.22,29265,5000,60,0x0010
1778267919.568215000,10.19.155.241,10.19.155.22,29265,5000,60,0x0011
1778267919.568264000,10.19.155.22,10.19.155.241,5000,29265,54,0x0010
1778267919.572696000,10.19.155.22,10.19.155.241,5000,6515,833,0x0019
1778267919.573918000,10.19.155.241,10.19.155.22,6515,5000,60,0x0010
1778267919.573919000,10.19.155.241,10.19.155.22,6515,5000,60,0x0011
1778267919.574026000,10.19.155.22,10.19.155.241,5000,6515,54,0x0010
1778267922.540628000,10.19.155.241,10.19.155.22,51090,5000,66,0x0002
1778267922.540680000,10.19.155.22,10.19.155.241,5000,51090,66,0x0012
1778267922.541616000,10.19.155.241,10.19.155.22,43750,5000,66,0x0002
1778267922.541617000,10.19.155.241,10.19.155.22,51090,5000,60,0x0010
1778267922.541618000,10.19.155.241,10.19.155.22,51090,5000,2026,0x0018
1778267922.541647000,10.19.155.22,10.19.155.241,5000,43750,66,0x0012
1778267922.542113000,10.19.155.22,10.19.155.241,5000,51090,54,0x0010
1778267922.542886000,10.19.155.241,10.19.155.22,43750,5000,60,0x0010
1778267922.542887000,10.19.155.241,10.19.155.22,43750,5000,2090,0x0018
1778267922.542961000,10.19.155.22,10.19.155.241,5000,43750,54,0x0010
1778267922.543137000,10.19.155.22,10.19.155.241,5000,51090,1383,0x0018
1778267922.544068000,10.19.155.241,10.19.155.22,51090,5000,84,0x0018
1778267922.544686000,10.19.155.22,10.19.155.241,5000,51090,54,0x0011
1778267922.545423000,10.19.155.241,10.19.155.22,51090,5000,60,0x0011
1778267922.545425000,10.19.155.241,10.19.155.22,51090,5000,60,0x0010
1778267922.545425000,10.19.155.241,10.19.155.22,35061,5000,66,0x0002
1778267922.545458000,10.19.155.22,10.19.155.241,5000,51090,54,0x0010
1778267922.545795000,10.19.155.22,10.19.155.241,5000,35061,66,0x0012
1778267922.545952000,10.19.155.22,10.19.155.241,5000,43750,1383,0x0018
1778267922.546862000,10.19.155.241,10.19.155.22,35061,5000,60,0x0010
1778267922.546864000,10.19.155.241,10.19.155.22,35061,5000,1787,0x0018
1778267922.546963000,10.19.155.22,10.19.155.241,5000,35061,54,0x0010
1778267922.549176000,10.19.155.241,10.19.155.22,43750,5000,84,0x0018
1778267922.549178000,10.19.155.241,10.19.155.22,43750,5000,60,0x0011
1778267922.549178000,10.19.155.241,10.19.155.22,53316,5000,66,0x0002
1778267922.549297000,10.19.155.22,10.19.155.241,5000,53316,66,0x0012
1778267922.549730000,10.19.155.22,10.19.155.241,5000,43750,54,0x0011
1778267922.549991000,10.19.155.241,10.19.155.22,53316,5000,60,0x0010
1778267922.549993000,10.19.155.241,10.19.155.22,43750,5000,60,0x0010
1778267922.552469000,10.19.155.241,10.19.155.22,53316,5000,1851,0x0018
1778267922.552497000,10.19.155.22,10.19.155.241,5000,53316,54,0x0010
1778267922.553631000,10.19.155.22,10.19.155.241,5000,35061,2501,0x0018
1778267922.554711000,10.19.155.241,10.19.155.22,35061,5000,60,0x0010
1778267922.554715000,10.19.155.241,10.19.155.22,35061,5000,134,0x0018
1778267922.555555000,10.19.155.241,10.19.155.22,35061,5000,622,0x0018
1778267922.555645000,10.19.155.22,10.19.155.241,5000,35061,309,0x0018
1778267922.562594000,10.19.155.22,10.19.155.241,5000,53316,2501,0x0018
1778267922.563505000,10.19.155.241,10.19.155.22,53316,5000,60,0x0010
1778267922.564052000,10.19.155.241,10.19.155.22,53316,5000,134,0x0018
1778267922.564578000,10.19.155.22,10.19.155.241,5000,53316,309,0x0018
1778267922.565208000,10.19.155.241,10.19.155.22,53316,5000,660,0x0018
1778267922.571745000,10.19.155.22,10.19.155.241,5000,35061,727,0x0019
1778267922.572533000,10.19.155.241,10.19.155.22,35061,5000,60,0x0010
1778267922.573210000,10.19.155.241,10.19.155.22,35061,5000,60,0x0011
1778267922.573250000,10.19.155.22,10.19.155.241,5000,35061,54,0x0010
1778267922.580209000,10.19.155.22,10.19.155.241,5000,53316,833,0x0019
1778267922.581170000,10.19.155.241,10.19.155.22,53316,5000,60,0x0010
1778267922.582056000,10.19.155.241,10.19.155.22,53316,5000,60,0x0011
1778267922.582700000,10.19.155.22,10.19.155.241,5000,53316,54,0x0010
1778267925.542898000,10.19.155.241,10.19.155.22,42888,5000,66,0x0002
1778267925.542899000,10.19.155.241,10.19.155.22,33572,5000,66,0x0002
1778267925.542930000,10.19.155.22,10.19.155.241,5000,42888,66,0x0012
1778267925.544001000,10.19.155.22,10.19.155.241,5000,33572,66,0x0012
1778267925.544926000,10.19.155.241,10.19.155.22,42888,5000,60,0x0010
1778267925.544928000,10.19.155.241,10.19.155.22,33572,5000,60,0x0010
1778267925.544928000,10.19.155.241,10.19.155.22,42888,5000,2122,0x0018
1778267925.545026000,10.19.155.22,10.19.155.241,5000,42888,54,0x0010
1778267925.545817000,10.19.155.241,10.19.155.22,33572,5000,2090,0x0018
